Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","0F","C_Axial_L3.8mm_D2.6mm_P7.50mm_Horizontal",86.510000,61.595000,0.000000,top
"C2","0F","C_Axial_L3.8mm_D2.6mm_P7.50mm_Horizontal",81.190000,33.655000,180.000000,top
"C3","0F","C_Axial_L3.8mm_D2.6mm_P7.50mm_Horizontal",132.140000,61.595000,0.000000,top
"C4","0F","C_Axial_L3.8mm_D2.6mm_P7.50mm_Horizontal",126.940000,33.655000,180.000000,top
"C5","10n","C_Disc_D3.8mm_W2.6mm_P2.50mm",29.845000,85.705000,-90.000000,top
"C6","0F","C_Axial_L3.8mm_D2.6mm_P7.50mm_Horizontal",81.190000,61.595000,180.000000,top
"C7","0F","C_Axial_L3.8mm_D2.6mm_P7.50mm_Horizontal",86.450000,33.655000,0.000000,top
"C8","0F","C_Axial_L3.8mm_D2.6mm_P7.50mm_Horizontal",126.940000,61.595000,180.000000,top
"C9","0F","C_Axial_L3.8mm_D2.6mm_P7.50mm_Horizontal",132.140000,33.655000,0.000000,top
"C10","10n","C_Disc_D4.7mm_W2.5mm_P5.00mm",17.860000,78.115000,0.000000,top
"C11","10n","C_Disc_D4.7mm_W2.5mm_P5.00mm",19.130000,17.145000,0.000000,top
"C12","10n","C_Disc_D3.8mm_W2.6mm_P2.50mm",30.480000,12.045000,-90.000000,top
"C13","0.22uF","C_Rect_L11.0mm_W3.4mm_P10.00mm_MKT",168.275000,24.825000,90.000000,top
"C14","0.22uF","C_Rect_L11.0mm_W3.4mm_P10.00mm_MKT",156.210000,24.825000,90.000000,top
"C15","0.22uF","C_Rect_L11.0mm_W3.4mm_P10.00mm_MKT",168.275000,51.110000,90.000000,top
"C16","0.22uF","C_Rect_L11.0mm_W3.4mm_P10.00mm_MKT",156.210000,51.170000,90.000000,top
"D1","10V","D_DO-41_SOD81_P7.62mm_Horizontal",93.980000,73.025000,180.000000,top
"D2","10V","D_DO-41_SOD81_P7.62mm_Horizontal",93.980000,78.740000,180.000000,top
"D3","10V","D_DO-41_SOD81_P7.62mm_Horizontal",73.690000,22.225000,0.000000,top
"D4","10V","D_DO-41_SOD81_P7.62mm_Horizontal",73.690000,16.510000,0.000000,top
"D5","10V","D_DO-41_SOD81_P7.62mm_Horizontal",139.700000,73.025000,180.000000,top
"D6","10V","D_DO-41_SOD81_P7.62mm_Horizontal",139.700000,78.740000,180.000000,top
"D7","10V","D_DO-41_SOD81_P7.62mm_Horizontal",119.380000,22.225000,0.000000,top
"D8","10V","D_DO-41_SOD81_P7.62mm_Horizontal",119.380000,16.510000,0.000000,top
"D9","15V","D_DO-41_SOD81_P7.62mm_Horizontal",46.355000,78.115000,90.000000,top
"D10","10V","D_DO-41_SOD81_P7.62mm_Horizontal",73.690000,73.025000,0.000000,top
"D11","10V","D_DO-41_SOD81_P7.62mm_Horizontal",73.690000,78.740000,0.000000,top
"D12","10V","D_DO-41_SOD81_P7.62mm_Horizontal",93.980000,22.225000,180.000000,top
"D13","10V","D_DO-41_SOD81_P7.62mm_Horizontal",93.980000,16.510000,180.000000,top
"D14","10V","D_DO-41_SOD81_P7.62mm_Horizontal",119.380000,73.025000,0.000000,top
"D15","10V","D_DO-41_SOD81_P7.62mm_Horizontal",119.380000,78.740000,0.000000,top
"D16","10V","D_DO-41_SOD81_P7.62mm_Horizontal",139.700000,22.225000,180.000000,top
"D17","10V","D_DO-41_SOD81_P7.62mm_Horizontal",139.700000,16.510000,180.000000,top
"D18","15V","D_DO-41_SOD81_P7.62mm_Horizontal",46.355000,9.525000,90.000000,top
"D19","1N4001","D_DO-41_SOD81_P10.16mm_Horizontal",156.210000,10.795000,90.000000,top
"D20","1N4001","D_DO-41_SOD81_P10.16mm_Horizontal",168.275000,20.955000,-90.000000,top
"J11","DIN41612_02x32_AB","DIN41612_B_2x32_Male_Horizontal_THT",194.660000,89.420000,-90.000000,top
"R1","R_US","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",96.520000,67.310000,180.000000,top
"R2","R_US","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",71.120000,27.940000,0.000000,top
"R3","R_US","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",142.240000,67.310000,180.000000,top
"R4","R_US","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",116.840000,27.940000,0.000000,top
"R5","1k","R_Axial_DIN0309_L9.0mm_D3.2mm_P20.32mm_Horizontal",24.130000,45.085000,90.000000,top
"R6","1k","R_Axial_DIN0309_L9.0mm_D3.2mm_P20.32mm_Horizontal",52.070000,45.085000,90.000000,top
"R7","R_US","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",91.470000,55.880000,0.000000,top
"R8","R_US","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",76.230000,38.735000,180.000000,top
"R9","R_US","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",137.160000,56.515000,0.000000,top
"R10","R_US","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",121.920000,38.735000,180.000000,top
"R11","2k","R_Axial_DIN0309_L9.0mm_D3.2mm_P15.24mm_Horizontal",38.105000,85.725000,-90.000000,top
"R12","R_US","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",71.120000,67.310000,0.000000,top
"R13","R_US","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",96.520000,27.940000,180.000000,top
"R14","R_US","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",116.840000,67.310000,0.000000,top
"R15","R_US","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",142.240000,27.940000,180.000000,top
"R16","2k","R_Axial_DIN0309_L9.0mm_D3.2mm_P15.24mm_Horizontal",38.100000,24.765000,-90.000000,top
"R17","R_US","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",76.230000,55.880000,180.000000,top
"R18","R_US","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",91.470000,38.735000,0.000000,top
"R19","R_US","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",121.920000,55.880000,180.000000,top
"R20","R_US","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",137.155000,38.735000,0.000000,top
"R21","1k","R_Axial_DIN0309_L9.0mm_D3.2mm_P20.32mm_Horizontal",18.415000,45.085000,90.000000,top
"R22","1k","R_Axial_DIN0309_L9.0mm_D3.2mm_P20.32mm_Horizontal",58.420000,45.085000,90.000000,top
"U1","TL064","DIP-14_W7.62mm",45.725000,51.435000,-90.000000,top
"U2","TL064","DIP-14_W7.62mm",91.470000,51.435000,-90.000000,top
"U3","TL064","DIP-14_W7.62mm",137.160000,51.435000,-90.000000,top
"U4","L7815","TO-220-3_Vertical",168.585000,40.640000,90.000000,top
"U5","L7915","TO-220-3_Vertical",156.210000,40.640000,90.000000,top
